id,first_name,last_name,team,position,age,exp,pos,avg_type,points,pos_rank,drop_off,sd_pts,floor,ceiling,tier
7480,Matt,Schaub,ATL,QB,38,15,QB,average,4.95956333333333,46,0.548961212121211,9.20887046184074,0.0110833333333333,17.3385,8
7480,Matt,Schaub,ATL,QB,38,15,QB,robust,0.607783333333333,75,0.0921119047619049,0.52192462,0.0110833333333333,17.3385,8
7480,Matt,Schaub,ATL,QB,38,15,QB,weighted,0.29654603428006,65,0.162965350974779,0.205444305974814,0,0.374314893617021,8
7813,Alex,Smith,WAS,QB,35,14,QB,average,11.2025,40,0.296250000000001,12.3300246688047,0.0705000000000001,19.6005,8
7813,Alex,Smith,WAS,QB,35,14,QB,robust,11.2025,40,0.296250000000001,1.045233,0.0705000000000001,19.6005,8
7813,Alex,Smith,WAS,QB,35,14,QB,weighted,0.660983493810179,57,0.0314390785931681,0.498510280736516,0,0.626630733944954,8
7836,Aaron,Rodgers,GBP,QB,36,14,QB,average,23.2250360565425,4,0.436424502286897,3.4338705117012,17.3539,26.372,2
7836,Aaron,Rodgers,GBP,QB,36,14,QB,robust,22.7359579464111,5,0.105232433745503,1.40304994971949,17.3539,26.372,2
7836,Aaron,Rodgers,GBP,QB,36,14,QB,weighted,22.3071849659698,4,0.125375158968392,2.65383729219029,16.46,23.4556375,2
7877,Frank,Gore,BUF,RB,36,14,RB,average,9.73416652542561,56,0.14735097558213,4.35799294025184,6.65567974971315,16.7814978606574,9
7877,Frank,Gore,BUF,RB,36,14,RB,robust,8.36047674418605,65,0.190888782484414,1.3655746769176,6.65567974971315,16.7814978606574,9
7877,Frank,Gore,BUF,RB,36,14,RB,weighted,8.2621226265385,48,0.153900228008597,2.39175633531044,6.47,11.3686940258731,9
7942,Darren,Sproles,PHI,RB,36,14,RB,average,7.53704556482686,75,0.115328717077923,6.84339768919438,3.6405,17.6920921567641,11
7942,Darren,Sproles,PHI,RB,36,14,RB,robust,4.99539557277255,94,0.570946867915867,2.01364406323691,3.6405,17.6920921567641,11
7942,Darren,Sproles,PHI,RB,36,14,RB,weighted,4.70636089402673,68,0.203716546180575,1.37768463767606,3.57,6.28370591082456,11
8025,Derek,Anderson,FA,QB,36,14,QB,average,0.07,84,0.035,,0.07,0.07,10
