id,first_name,last_name,team,position,age,exp,pos,avg_type,points,pos_rank,drop_off,sd_pts,floor,ceiling,tier,points_vor,rank,floor_vor,floor_rank,ceiling_vor,ceiling_rank,points_wk1,points_wk2,points_wk3
13065,Eric,Tomlinson,NYJ,TE,27,4,TE,weighted,16.2275381355932,99,0.778314807677932,9.66463634647753,0,22.7180844720497,11,-98.7296188086678,378,-97.4796666666667,356,-121.023895690399,421,0.961,1.07775,1.07575
13066,Kalif,Raymond,TEN,WR,25,3,WR,average,0.004,231,0.0035,0.00282842712474619,2e-04,0.0038,15,-154.917449815594,628,-123.255310073719,575,-184.009585810224,652,,,
13066,Kalif,Raymond,TEN,WR,25,3,WR,robust,0.004,231,0.0035,0.0029652,2e-04,0.0038,15,-154.692298640709,627,-123.255310073719,575,-184.009585810224,652,,,
13066,Kalif,Raymond,TEN,WR,25,3,WR,weighted,0.004,227,0.0035,0.00282842712474619,0,0.00355155279503106,15,-157.116737579991,621,-131.505767433165,488,-178.689220355466,647,,,
13067,Alex,Ellis,PHI,TE,26,3,TE,average,0,139,0,,0,0,14,-115.548942629429,460,-95.2349671022291,417,-145.183720627677,509,,,
13067,Alex,Ellis,PHI,TE,26,3,TE,robust,0,139,0,0,0,0,14,-112.913427679117,448,-95.2349671022291,417,-145.183720627677,509,,,
13067,Alex,Ellis,PHI,TE,26,3,TE,weighted,0,140,0,,0,0,14,-114.957156944261,458,-97.4796666666667,356,-143.741980162449,505,,,
13108,J.D.,McKissic,SEA,RB,26,3,RB,average,48.2068118624715,121,0.506811862471452,18.1217963635617,26.17325,69.2542177937072,30,-119.136900270312,471,-113.590916666667,478,-124.801700547935,439,2.79327713815789,2.69782284319045,2.60356377613276
13108,J.D.,McKissic,SEA,RB,26,3,RB,robust,45.8774508759733,121,1.20204833360042,15.8837396019005,26.17325,69.2542177937072,30,-120.533778401105,468,-113.590916666667,478,-124.801700547935,439,2.79327713815789,2.69782284319045,2.60356377613276
13108,J.D.,McKissic,SEA,RB,26,3,RB,weighted,51.5224497321957,86,2.03488966840594,19.4094662406351,22.501,69.7470815203819,30,-83.9104847615073,309,-111.137333333333,400,-116.715828562951,406,2.79327713815789,2.69782284319045,2.60356377613276
13113,Deshaun,Watson,HOU,QB,24,2,QB,average,387.681432062508,2,21.5837268657643,20.4168225303783,327.2337,377.148,2,61.4864485849432,27,49.07558,30,43.1236233333333,38,24.1253805515768,24.3423075517385,24.1992860410534
13113,Deshaun,Watson,HOU,QB,24,2,QB,robust,392.91225,2,23.7011661485348,17.43033516,327.2337,377.148,2,63.5523362345197,26,49.07558,30,43.1236233333333,38,24.1253805515768,24.3423075517385,24.1992860410534
13113,Deshaun,Watson,HOU,QB,24,2,QB,weighted,387.494162480761,2,22.1148744347693,21.7970540366107,325,378.75448,2,58.3462904661471,35,42.6822,39,42.4104145916667,43,24.1253805515768,24.3423075517385,24.1992860410534
13114,DeShone,Kizer,GBP,QB,23,2,QB,average,112.932185714286,46,27.3794149385431,224.641733582366,2.34,426.47,9,-213.262797763279,697,-275.81812,714,92.445623333333,20,1.2398,1.4675,1.47425
13114,DeShone,Kizer,GBP,QB,23,2,QB,robust,17.2178,65,0.858149999999998,3.80968896,2.34,426.47,9,-312.14211376548,716,-275.81812,714,92.445623333333,20,1.2398,1.4675,1.47425
13114,DeShone,Kizer,GBP,QB,23,2,QB,weighted,131.12003393202,35,9.61094146104853,238.50473098852,0,418.370196592398,9,-198.027838082593,632,-282.3178,529,82.0261311840649,24,1.2398,1.4675,1.47425
